ParticipantId,TimeTaken,Age,Sex,v_29,Q1,Q11,Q11b,Q12,Q12b,v_77,v_78,0-5-M,0-5-F,0-5-N,2-17-M,2-17-F,2-17-N,2-20-M,2-20-F,2-20-N,1-29-M,1-29-F,1-29-N,1-30-M, 1-30-F,1-30-N,5-62-M,5-62-F,5-62-N,0-13-M,0-13-F,0-13-N,5-50-M,5-50-F,5-50-N,Q4,Q5,Q6,Q7,Q8,Q9,Q10,v_80,Q3,Q2,Condition
M028,624,51,Female,1,50,1,-99,3,-99,Airline pilot requirements ,0,-66,-66,Top plus sized models 2022,-66,-66,Extended parental leave,-66,-66,Newborn baby play ideas ,-66,Women CEOs,-66,-66,-66,Greatest German engineers ,-66,How to gain muscle mass if female ,-66,-66,-66,How to become more attractive ,-66,-66,Weight lifting for beginners ,4,5,4,4,2,3,4,1,3,4,C
M029,414,40,Male,1,40,2,-99,3,-99,What are the height and weight requirements for pilots,0,-66,Top plus size models 2022,-66,What Lane is available for dads,-66,-66,-66,-66,What games can I play with my newborn,-66,-66,How to become a CEO,-66,-66,Greatest German engineers,-66,How can a skinny woman put on weight,-66,How can men be more attractive,-66,-66,How does a man get started with weight lifting,-66,-66,4,4,4,3,1,1,4,1,7,5,E
M030,507,72,Female,1,72,1,-99,4,-99,-99,5,-66,Plus size models 2022,-66,-66,When should  women go back to work after having a  baby,-66,Ideas for dads to play with babies,-66,-66,What are the qualities to become a CEO,-66,-66,-66,Famous German women engineers,-66,-66,-66,My body is too skinny what can I do,How can men appear more attractive,-66,-66,-66,-66,How to start weight lifting as a beginner,4,4,3,3,4,4,4,1,7,5,E
M031,474,47,Female,1,47,1,-99,3,-99,-99,5,Male plus size models.,-66,-66,-66,-66,Extended parental leave.,-66,-66,Play ideas for babies.,-66,Women CEOs.,-66,-66,Famous German women engineers.,-66,Muscle building techniques.,-66,-66,-66,-66,I am ugly. ,-66,-66,Weight lifting beginners.,4,4,2,2,4,3,4,1,6,5,E
M032,615,61,Female,1,61,1,-99,3,-99,-99,5,Big male models 2022,-66,-66,Men with childcare responsibility and work ethic ,-66,-66,-66,-66,How to play with a newborn baby,-66,Skills women need to be a CEO,-66,-66,-66,Germany top engineers ,-66,How can a women build muscle and tone her body,-66,-66,-66,Easy ways to make me attractive,-66,-66,can older women do weight lifting,4,3,4,3,4,4,4,1,3,4,C
M033,418,28,Female,1,28,1,-99,3,-99,How tall do you have to be to be a pilot,0,-66,Most popular plus size models,-66,Paternity leave from work,-66,-66,Things to do with my newborn baby,-66,-66,How to become a ceo,-66,-66,German engineers,-66,-66,-66,How to gain muscle women ,-66,-66,-66,How to be more attractive  ,-66,-66,Weight lifting for beginners ,5,5,5,4,1,1,2,1,7,3,C
M034,487,60,Female,1,58,1,-99,3,-99,-99,5,-66,-66,most famous plus size models 2022,-66,-66,extra parental leave,-66,-66,games for parents and new babies,How to become a CEO,-66,-66,"Goring, Daimler, Quandt",-66,-66,-66,-66,muscle-biolding for slim people,improve male attractiveness,-66,-66,novice male weight - lifting,-66,-66,4,4,4,3,3,3,3,1,3,4,E
M035,420,26,Female,1,26,1,-99,2,-99,-99,5,-66,top female plus size models,-66,-66,-66,extended parental leave,-66,-66,play ideas for babies,-66,-66,how to become a ceo,-66,-66,famous german engineers,muscle building for beginners,-66,-66,how can men improve appearance,-66,-66,-66,-66,beginners weight lifting tips,5,5,4,3,4,3,4,1,6,5,C
M036,990,50,Male,1,50,2,-99,2,-99,-99,5,Top 23 famous male large models ,-66,-66,Parental leave for working dads,-66,-66,-66,Play for moms and newborns ,-66,-66,-66,How to become CEO,Famous German men who are engineers ,-66,-66,Bulk up fast skinny ,-66,-66,Increase attractiveness of a man,-66,-66,Weight lifting for men,-66,-66,4,4,4,4,4,5,5,1,2,1,E
M037,335,25,Female,1,25,1,-99,3,-99,How to become a pilot,0,-66,Famous plus size models ,-66,-66,-66,Child care arrangements,Dads and babies,-66,-66,-66,-66,How to become a CEO,-66,-66,Famous German engineers,How to bulk up,-66,-66,-66,How to become more attractive ,-66,-66,-66,Weight lifting for beginners,4,4,4,2,2,2,4,1,7,5,C
M038,1011,32,Male,1,32,2,-99,2,-99,Height and weight for becoming an airline pilot,0,-66,TOP PLUS SIZE MODELS OF 2022,-66,-66,-66,PARENTAL LEAVE,-66,-66,Ideas for children's play,HOW TO BECOME A CEO,-66,-66,-66,-66,LIST OF GERMAN ENGINEERS,-66,-66,HOW TO BULK UP FAST,-66,-66,HOW TO LOOK MORE ATTRACTIVE,HOW TO START WEIGHT LIFTING,-66,-66,5,4,4,3,5,5,4,1,6,5,C
M039,401,36,Male,1,35,2,-99,4,-99,-99,5,-66,-66,plus size models 2022,-66,-66,child care parental leave,how to play with baby dad,-66,-66,why men CEOs,-66,-66,-66,female german engineers,-66,-66,-66,skinny bulk up,-66,-66,how to increase attractiveness,-66,weight lifting women,-66,4,4,4,1,1,1,1,1,2,1,C
M040,1065,42,Male,1,42,2,-99,5,-99,-99,5,male plus size models,-66,-66,-66,How to balance being a mum and working,-66,-66,mothers and babies play ideas,-66,-66,How to become a female CEO,-66,famous German engineers,-66,-66,How to build muscle as a beginner,-66,-66,male grooming methods,-66,-66,-66,female weight lifting tips,-66,3,2,4,2,4,4,4,1,1,2,C
M041,574,44,Male,1,44,2,-99,2,-99,what is the height and weight requirements to become a pilot,0,-66,-66,world plus size models,-66,-66,help for parents that work,-66,-66,how to play with my baby,how males become ceo's in a company,-66,-66,-66,famous engineers,-66,-66,-66,what can I use to build my body,-66,how can women look better,-66,mens arm exercises,-66,-66,4,5,5,4,4,5,5,1,4,4,E
M042,397,55,Male,1,55,2,-99,3,-99,-99,5,-66,Plus size fashion models,-66,-66,-66,Parental leave extension,What can dad do with new baby,-66,-66,-66,-66,CEO characteristics ,-66,-66,German engineering greats,-66,Girls body building,-66,-66,-66,Become more attractive ,Mens weights course,-66,-66,5,5,5,5,4,4,5,1,4,4,E
M043,424,57,Male,1,57,2,-99,2,-99,Statistics for airline pilots,0,Famous heavyweight models,-66,-66,-66,-66,Parental Leave and Childcare,Interacting with young children,-66,-66,-66,Can CEOs be women?,-66,German engineers,-66,-66,-66,How to put on weight,-66,-66,-66,How to be attractive,Weight lifting,-66,-66,5,4,5,3,4,4,4,1,2,1,C
M044,514,39,Female,1,39,1,-99,3,-99,-99,5,-66,female plus size models of 2022,-66,childcare and working dads,-66,-66,-66,play ideas for newborns,-66,how men become CEOs,-66,-66,-66,-66,greatest german engineers,-66,girls guide to bulk up,-66,how men can increase attractiveness,-66,-66,weight lifting for men,-66,-66,4,4,5,3,3,3,3,1,8,4,E
M045,403,32,Female,1,32,1,-99,2,-99,how much can you weigh to be a pilot,0,male plus size models,-66,-66,paternity leave,-66,-66,-66,-66,play ideas for babies,-66,how do woman become ceos,-66,famous german engineers,-66,-66,how to bulk up fast,-66,-66,-66,-66,how to look better,-66,how to star women weight lifting,-66,5,5,5,5,5,4,4,1,4,3,C
M046,437,53,Male,1,53,2,-99,2,-99,what is the average weight of an airline piolet,0,-66,most famous overweight super models,-66,is childcare for women only ,-66,-66,-66,how to keep a new born baby entertained,-66,-66,-66,how do i become a CEO at my place of employment,who is greatest german engineer of all time ,-66,-66,-66,what the queen of england financially nett worth ,-66,-66,-66,how do i make myself to look sexier and younger ,-66,-66,what is the best way to learn weight lifting ,5,4,5,4,3,4,3,1,4,3,E
M047,502,46,Female,1,47,1,-99,2,-99,requirements needed to become a pilot height /weight,0,-66,famous pluc size models 2022,-66,-66,-66,extended parental leave advice for parents,new dads games they can play with their newborn,-66,-66,-66, help for female ceos,-66,-66,famous female german engineers,-66,-66,-66,how  can a skinnu perosmto bulk up fast ,-66,how can woman become mire attractives - tips and advice,-66,weight lifting for beginners,-66,-66,3,4,5,3,3,4,3,1,7,3,E
M048,949,70,Male,1,70,2,-99,2,-99,-99,5,Top Famous Male Plus Size Models Of 2022 ,-66,-66,-66,-66,Child Care and Working Parent: Extended Parental Leave For P,-66,-66,Newborn babies  Play ideas for parents ,-66,female qualities to reach the top,-66,-66,famous german women Engineers,-66,-66,Skinny Girls' Guide to Bulking Up Fast,-66,-66,-66,Simple Ways to Increase Attractiveness, starting weightlifting  men,-66,-66,4,2,5,4,5,5,4,1,3,4,E
M049,281,32,Female,1,32,1,-99,3,-99,-99,5,-66,Famous plus size models,-66,-66,Maternity leave,-66,-66,Baby play ideas,-66,How to become a CEO man,-66,-66,-66,-66,Famous german engineers,-66,-66,How to build muscle ,-66,How to be more attractive ,-66,-66,Womens weight lifting,-66,4,4,4,3,2,2,2,1,5,4,C
M050,303,33,Female,1,33,1,-99,3,-99,Height and weight requirements pilots,0,Male plus size models ,-66,-66,-66,Extended parental leave moms,-66,Play ideas for dads and newborns ,-66,-66,-66,-66,How to become ceo,-66,-66,Germán engineers ,-66,Girls bulking up ,-66,-66,Women increase attractiveness,-66,-66,How to weight lifting women ,-66,4,4,5,4,4,4,3,1,5,4,C
M051,530,61,Male,1,61,2,-99,2,-99,-99,5,-66,Most famous plus models 2022 ,-66,Child Care Working Dad,-66,-66,-66,Play ideas for babies,-66,-66,enable women to become ceos,-66,German engineers,-66,-66,-66,Girls' Guide to Bulking Up Fast,-66,-66,Way to become more attractive,-66,-66,-66,Weight lifting for everyone,4,4,4,3,3,2,3,1,5,3,E
M052,613,47,Male,1,47,2,-99,4,-99,-99,5,-66,Famous plus-size models,-66,parental leave for dads studies,-66,-66,-66,games to play with babies,-66,-66,characteristics of women CEOs,-66,-66,german women engineers,-66,-66,-66,How to bulk up,-66,-66,How to be more attractive,Weighlifting for beginners,-66,-66,4,4,5,3,2,2,2,1,5,4,C
M053,452,43,Male,1,43,2,-99,2,-99,Requirements to be a pilot,0,-66,-66,Best plus size models,father parental leave,-66,-66,-66,-66,parenting for beginners,How to become a CEO,-66,-66,-66,German female engineers,-66,-66,How to bulk up,-66,how to improve my attractiveness,-66,-66,-66,-66,weightlifting for beginners,4,4,4,2,4,2,1,1,4,3,C
M054,605,34,Male,1,34,2,-99,7,HND,Maximum height and weight to be a pilot,0,-66,-66,Top plus size models 2022,-66,Extended parental leave for childcare,-66,-66,-66,Games for newborns and parents,-66,How to be a female ceo,-66,Famous engineers from germany,-66,-66,-66,-66,How to build muscle ,-66,Tips to be more attractive ,-66,-66,Women's weight lifting training ,-66,5,5,3,2,4,4,4,1,4,4,C
M055,363,22,Male,1,22,2,-99,4,-99,-99,5,-66,-66,plus size models,paternity leave,-66,-66,best newborn development techniques,-66,-66,CEO attributes,-66,-66,-66,-66,famous german engineers,-66,-66,bulking programs,-66,-66,ways to increase attractiveness,-66,powerlifting for women,-66,5,5,5,4,5,5,4,1,5,4,E
M056,519,54,Female,1,54,1,-99,3,-99,-99,5,-66,-66,Top famous plus size models 2022,Parental leave for men implications,-66,-66,-66,Play mother and baby,-66,-66,how can a woman become a CEO?,-66,-66,famous women German engineers,-66,muscle building beginners,-66,-66,-66,easy ways women look better,-66,weight lifting men beginner help,-66,-66,4,4,4,3,4,4,3,1,6,4,E
M057,818,56,Female,1,57,1,-99,3,-99,-99,5,-66,Who are the top 23 plus size models in the world today?,-66,-66,-66, policy feedback on subjective work commitments ,-66,Ideas for babies to play with their mummies,-66,How do men become CEOs?,-66,-66,-66,-66,Who are the greatest German engineers?,-66,How can I bulk up when I am skinny?,-66,How,-66,-66,What is the best way for men to lift weights?,-66,-66,5,5,4,4,4,3,3,1,3,4,C
M058,576,46,Male,1,46,2,-99,2,-99,requirements to become a pilot,0,-66,-66,famous plus size models,-66,parental leave for expectant mothers,-66,-66,babies development through play for mothers,-66,-66,how a woman gets a high powered job,-66,-66,well known female german engineers,-66,How to gain weight for slim men,-66,-66,ways a man can improve his appearance,-66,-66,-66,-66,how to get into weight lifting,4,4,5,4,4,5,4,1,4,4,C
M059,2081,31,Female,1,31,1,-99,2,-99,Height and weight pilot requirements ,0,Male plus size models ,-66,-66,-66,Childcare working Mom ,-66,-66,Play ideas baby ,-66,Becoming a ceo ,-66,-66,Famous German engineers ,-66,-66,-66,Bulking up,-66,-66,-66,Improve looks ,-66,-66,Weight lifting ,5,5,5,5,5,5,5,1,4,4,C
M060,464,40,Male,1,41,2,-99,2,-99,-99,5,-66,Plus sized models 2022,-66,-66,-66,extended parental leave options,-66,-66,games to play with newborns,-66,-66,what makes a good CEO,greatest german engineers,-66,-66,-66,-66,best way to bulk up,-66,how to look good,-66,-66,-66,weight lifting beginner plans,5,5,5,3,3,3,3,1,4,2,C
M061,402,27,Female,1,27,1,-99,2,-99,-99,5,male plus size models,-66,-66,-66,can moms have extended parental leave,-66,-66,-66,how do i play with my newborn?,-66,how can a women become a ceo?,-66,-66,-66,who were the best german engineers?,-66,how can i bulk?,-66,-66,how can i become more attractive?,-66,-66,-66,how do i start weight lifting?,5,4,5,2,4,5,4,1,4,5,E
M062,481,35,Female,1,35,1,-99,2,-99,-99,5,Male body positivity,-66,-66,Do I have childcare rights as a father,-66,-66,How to be a good dad to my baby,-66,-66,How to be successful at the top ,-66,-66,-66,-66,Greatest German engineers of all time ,How to gain muscle and bulk,-66,-66,How can I attract women?,-66,-66,-66,-66,Weight lifting for beginners,4,4,5,4,3,3,4,1,6,4,E
M063,613,40,Male,1,40,2,-99,3,-99,-99,5,-66,-66,"plus size models, examples",-66,"Parental leave for moms, should i go back to work",-66,-66,games to play with my baby for development,-66,how to become a CEO,-66,-66,most famous German engineers of all time,-66,-66,free guide to building muscle,-66,-66,men how can I look more attractive,-66,-66,weight training for beginners guide,-66,-66,5,5,5,1,4,4,3,1,4,4,C
M064,350,43,Female,1,43,1,-99,3,-99,-99,5,-66,-66,Famous plus size people,Can working dad's take parental leave?,-66,-66,-66,-66,How to play with my baby,How do men become CEOs?,-66,-66,-66,-66,Famous german engineers,How do i build my muscles ,-66,-66,-66,-66,How to boost your looks,-66,How do i start weights,-66,4,4,4,3,4,4,4,1,4,2,C
M065,283,40,Male,1,40,2,-99,2,-99,-99,5,-66,most beautiful plus size models 2022,-66,-66,extended parental leave for mums,-66,-66,-66,how to entertain newborns,what does it take to be a CEO,-66,-66,top 3 german engineers,-66,-66,-66,-66,How to bulk up when skinny,how can men increase their looks,-66,-66,-66,-66,how to get into weight lifting,5,5,5,4,4,4,3,1,6,4,C
M066,329,31,Female,1,31,1,-99,3,-99,Size requirements for a pilot,0,-66,-66,Most famous plus size models,-66,-66,Parental leave,How to play with a newborn baby,-66,-66,-66,-66,How to become a ceo,-66,Female German engineers,-66,How to bulk up,-66,-66,-66,How to be more attractive,-66,How to start weightlifting ,-66,-66,5,5,5,2,2,2,4,1,6,4,C
M067,430,48,Male,1,48,2,-99,3,-99,physical restrictions for pilots,0,-66,-66,fat models,child care working parents,-66,-66,-66,-66,how to entertain a baby,how to be a ceo,-66,-66,-66,-66,famous german engineers,-66,gaining weight for fitness,-66,-66,-66,how to look better,-66,womens weight training,-66,4,4,5,3,3,3,3,1,2,3,C
M068,348,35,Female,1,35,1,-99,2,-99,Height & weight requirements for pilots,0,-66,-66,Famous plus size models,-66,-66,Extended Child care,-66,Newborn activities,-66,Male ceo ambitions,-66,-66,-66,-66,Famous German engineers,-66,How to build muscle,-66,-66,-66,How to increase looks,-66,-66,Weight lifting for beginners,4,4,3,2,2,2,2,1,4,4,C
M069,351,25,Male,1,25,2,-99,3,-99,Airline Pilot requirements,0,-66,Plus Sized Models,-66,Male parental leave,-66,-66,Play ideas for dads,-66,-66,-66,How to be a female CEO,-66,-66,Famous Female German Engineers,-66,How to gain muscle fast,-66,-66,How to be more attractive,-66,-66,-66,Female Weightlifting,-66,4,4,5,2,5,5,4,1,7,5,C
M070,605,53,Male,1,53,2,-99,3,-99,-99,5,-66,-66,World famous size models,-66,Child care for working mum's leave,-66,-66,New born babies and what to do,-66,-66,Women's CEO requirements ,-66,The best engineering men in history ,-66,-66,-66,How to bulk up and put weight on fast,-66,-66,-66,How to look more attractive ,Guide to weight lifting ,-66,-66,4,4,4,4,4,4,4,1,7,5,E
M071,260,33,Female,1,33,1,-99,2,-99,-99,5,-66,Famous plus size models,-66,parental leave for dads,-66,-66,-66,What to play with babies,-66,how to become a CEO,-66,-66,Famous German engineers,-66,-66,-66,How to build  up muscle women,-66,-66,-66,How to be more attractive,-66,women's weightlifting tips,-66,4,5,5,5,2,2,4,1,6,4,E
M072,379,22,Male,1,22,2,-99,3,-99,-99,5,Top famous plus size men 2022,-66,-66,-66,-66,Child care extended parental leave,-66,Play ideas babies,-66,-66,Women CEOs,-66,-66,Best German engineers women,-66,Skinny guy fast bulk,-66,-66,How can men increase attractiveness,-66,-66,-66,Women weight lifting guide,-66,5,5,4,4,2,2,4,1,5,5,C
M073,513,26,Male,1,26,2,-99,3,-99,How tall do you have to be to be a pilot,0,-66,-66,Most famous plus size models of 2022,-66,-66,How to claim extended parental leave for working parents,How to play with newborn baby as a father,-66,-66,-66,How do women become ceos?,-66,-66,-66,Who are the most famous german engineers?,-66,-66,How to gain weight quickly if you are skinny,How do i become more attractive as a male?,-66,-66,-66,-66,how to start weight lifting,5,5,5,4,3,2,4,1,3,5,C
M074,628,58,Female,1,59,1,-99,3,-99,-99,5,male plus size models,-66,-66,Parental leave for men,-66,-66,-66,-66,games for babies ,skills for CEO ,-66,-66,-66,female German engineers,-66,-66,how to put on weight women,-66,how to attract a girl,-66,-66,-66,-66,weight lifting for beginners,3,2,2,1,1,1,5,1,6,4,E
